name,nickname,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,date_of_birth,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,,,,PREDICTED AVERAGE TAKEDOWNS LANDED PER 15 MINUTES,UNIQUE HEIGHTS,UNIQUE WEIGHTS
Rob Broughton,The Bear,16,7,1,187.96,120.2,187.96,Orthodox,3/3/1983,2.83,60,2.54,51,0,0,26,3.2,,,,1.251956301,,
Ryuichi Murata,,8,3,1,172.72,83.01,,Orthodox,,0.84,36,1.89,50,4.74,50,100,3.2,,,,1.016550071,,
Roman Zentsov,The Russian Hammer,18,12,0,185.42,104.33,,Orthodox,9/10/1973,1.18,36,0.53,70,1.6,100,33,3.2,,,,1.055397808,,
Dmitry Sosnovskiy,Wicked Machine,11,0,0,190.5,108.86,195.58,Orthodox,7/6/1989,2.95,70,2.53,35,3.16,66,100,3.2,,,,1.265629113,,
Jesse Taylor,JT Money,31,15,0,182.88,77.11,185.42,Orthodox,1/2/1983,1.94,65,0.55,38,7.28,50,100,3.1,,,,1.145107951,,
Alexandre Dantas,Cafe,0,3,0,187.96,107.95,,Orthodox,3/1/1979,0.21,25,1.87,60,0,0,0,3.1,,,,0.937535194,,
Kevin Jousset,Air,9,2,0,187.96,77.11,190.5,Orthodox,5/2/1993,6.02,50,8.1,33,3.11,100,0,3.1,,,,1.628847176,,
Manny Bermudez,The Bermudez Triangle,14,2,0,177.8,65.77,180.34,Orthodox,7/16/1994,2.92,61,2.68,46,3.06,54,0,3.1,,,,1.259747614,,
Eric Lawson,,9,5,0,182.88,83.91,,Orthodox,,1.58,57,1.97,44,8.88,42,0,3,,,,1.100467833,,
Sidney Outlaw,,8,4,0,172.72,77.11,187.96,Orthodox,4/11/1992,0.13,33,0.8,71,3,75,0,3,,,,0.925653798,,
